var,coef,ci_lo,ci_hi,pvalue,efeito_pct,modelo
bairro_Casa_Branca[T.True],-3.0971054386685473,-12.631338213499353,6.437127336162257,0.5239691541276098,-95.482021102292,ocupacao
bairro_Ilhota[T.True],-10.484414680061274,-21.907480817806285,0.9386514576837364,0.07198853902266783,-99.9972031024503,ocupacao
bairro_Outros[T.True],-6.3486506811268555,-12.871773344418573,0.17447198216486193,0.05643765587340715,-99.82508943540283,ocupacao
number_of_bedrooms,-1.8292048712229632,-3.812249144319634,0.15383940187370748,0.07057828214320325,-83.94588320583026,ocupacao
number_of_guests,1.123085875854621,0.3582332756489347,1.8879384760603073,0.0040444478505358575,207.4326570634891,ocupacao
n_amenities,0.020154592841602405,-0.10092245228341823,0.14123163796662302,0.7439922704323069,2.0359068042414075,ocupacao
log_host_reviews,0.6437047073718953,-0.2996435864959899,1.5870530012397805,0.18086038999560042,90.35198165498231,ocupacao
log_reviews,3.9219408596830982,2.309082976908294,5.534798742457903,2.1045770907052128e-06,4949.835995842173,ocupacao
star_rating,-1.8437938785444303,-10.917201662306235,7.229613905217375,0.6901444022930201,-84.17839663920729,ocupacao
Intercept,2.2826115238297136,-7.478195012750987,12.043418060410414,0.646364654902847,880.2245811191924,apartamento
ar_condicionado[T.True],0.6069379123476246,-1.3815587828870124,2.595434607582262,0.5492935420188222,83.48044560130663,apartamento
tv[T.True],0.9674343462144526,-1.3200719072030132,3.2549405996319183,0.4067366935627407,163.11850819848587,apartamento
cozinha[T.True],1.077647127128312,-0.6438598633546948,2.7991541176113186,0.21954837429181528,193.77592389339227,apartamento
vista_mar[T.True],0.19246999173656698,-0.4703897829652338,0.8553297664383678,0.5689029372273359,21.224012594058657,apartamento
elevador[T.True],-0.29307766810508107,-0.8752407926277308,0.28908545641756866,0.3233960363843751,-25.40357991787257,apartamento
piscina[T.True],-0.5496062011467931,-1.7474053576765702,0.6481929553829838,0.3680696887028696,-42.28229427039769,apartamento
churrasqueira[T.True],0.24874615786887658,-0.34520008032603644,0.8426923960637895,0.41131949139674656,28.241646042223085,apartamento
academia[T.True],0.5591553948659803,-0.797095823352247,1.9154066130842078,0.4186396807795154,74.91944975665727,apartamento
varanda[T.True],-0.3352544785396482,-0.8685427494121398,0.19803379233284346,0.21759382230202845,-28.48439286785679,apartamento
is_superhost[T.True],0.4529719267213482,-0.08198779869437339,0.9879316521370698,0.09689624656173468,57.29800271877124,apartamento
